SERVIÇO;OPERADORA;ESTADO;TEMA;ALTERNATIVAS;CALCULO;2015;2016
SCM;Algar;MG;Canais de atendimento utilizados;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Canais de atendimento utilizados;1.Atendimento telefônico;Percentual;77,285000;80,277000
SCM;Algar;MG;Canais de atendimento utilizados;2.Atendimento pela internet;Percentual;42,298000;41,176000
SCM;Algar;MG;Canais de atendimento utilizados;3.Atendimento na loja da operadora;Percentual;25,065000;29,758000
SCM;Algar;MG;Canais de atendimento utilizados;4.Nenhum destes canais;Percentual;11,488000;10,381000
SCM;Algar;MG;Tempo de espera para falar com o atendente;Média;Média Ponderada;6,203390;6,082609
SCM;Algar;MG;Tempo de espera para falar com o atendente;;Amostra não ponderada;296,000000;232,000000
SCM;Algar;MG;Tempo de espera para falar com o atendente;0.Péssimo;Percentual;8,784000;9,482759
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 1;Percentual;1,689000;2,155172
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 2;Percentual;3,716000;4,741379
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 3;Percentual;2,703000;4,741379
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 4;Percentual;6,419000;5,172414
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 5;Percentual;14,527000;13,362069
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 6;Percentual;8,784000;6,034483
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 7;Percentual;12,162000;12,931034
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 8;Percentual;16,892000;16,810345
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 9;Percentual;10,135000;8,620690
SCM;Algar;MG;Tempo de espera para falar com o atendente;10.Excelente;Percentual;13,851000;15,086207
SCM;Algar;MG;Tempo de espera para falar com o atendente;99. NS/ NR;Percentual;0,338000;0,862069
SCM;Algar;MG;Indicador de Atendimento Telefônico;Atendimento Telefônico;Média Indicadores;6,831644;6,763649
SCM;Algar;MG;Indicador de Atendimento Telefônico;;Amostra não ponderada;296,000000;232,000000
SCM;Algar;MG;Necessidade de repetir a demanda;Média;Média Ponderada;6,840678;6,814655
SCM;Algar;MG;Necessidade de repetir a demanda;;Amostra não ponderada;296,000000;232,000000
SCM;Algar;MG;Necessidade de repetir a demanda;0.Péssimo;Percentual;4,054000;7,327586
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 1;Percentual;0,338000;2,586207
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 2;Percentual;4,054000;2,155172
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 3;Percentual;3,041000;5,603448
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 4;Percentual;4,054000;3,017241
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 5;Percentual;13,514000;11,637931
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 6;Percentual;7,770000;5,172414
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 7;Percentual;13,176000;7,758621
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 8;Percentual;23,649000;16,810345
SCM;Algar;MG;Necessidade de repetir a demanda;Nota 9;Percentual;7,770000;11,637931
SCM;Algar;MG;Necessidade de repetir a demanda;10.Excelente;Percentual;18,243000;26,293103
SCM;Algar;MG;Necessidade de repetir a demanda;99. NS/ NR;Percentual;0,338000;0,000000
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Média;Média Ponderada;7,452381;7,396552
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;;Amostra não ponderada;296,000000;232,000000
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;0.Péssimo;Percentual;3,378000;3,017241
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 1;Percentual;1,014000;2,155172
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 2;Percentual;2,027000;3,017241
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 3;Percentual;3,041000;0,862069
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 4;Percentual;2,027000;3,448276
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 5;Percentual;8,446000;9,482759
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 6;Percentual;7,770000;10,344828
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 7;Percentual;10,135000;8,620690
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 8;Percentual;22,297000;15,948276
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;Nota 9;Percentual;12,162000;13,362069
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;10.Excelente;Percentual;27,027000;29,741379
SCM;Algar;MG;Capacidade dos atendentes para esclarecer dúvidas, dar orientações ou informações;99. NS/ NR;Percentual;0,676000;0,000000
SCM;Algar;MG;Nota para o atendimento telefônico;Média;Média Ponderada;7,320946;7,370690
SCM;Algar;MG;Nota para o atendimento telefônico;;Amostra não ponderada;296,000000;232,000000
SCM;Algar;MG;Nota para o atendimento telefônico;0.Péssimo;Percentual;3,041000;5,172414
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 1;Percentual;1,351000;0,431034
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 2;Percentual;1,351000;0,862069
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 3;Percentual;3,041000;3,017241
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 4;Percentual;3,378000;2,586207
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 5;Percentual;8,108000;10,775862
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 6;Percentual;10,135000;7,327586
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 7;Percentual;13,514000;9,913793
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 8;Percentual;18,919000;17,672414
SCM;Algar;MG;Nota para o atendimento telefônico;Nota 9;Percentual;13,514000;15,517241
SCM;Algar;MG;Nota para o atendimento telefônico;10.Excelente;Percentual;23,649000;26,724138
SCM;Algar;MG;Nota para o atendimento telefônico;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Indicador de Canais de Atendimento;Canais de Atendimento;Média Indicadores;7,377329;7,399194
SCM;Algar;MG;Indicador de Canais de Atendimento;;Amostra não ponderada;322,000000;248,000000
SCM;Algar;MG;Nota para o atendimento via internet;Média;Média Ponderada;7,565217;7,387931
SCM;Algar;MG;Nota para o atendimento via internet;;Amostra não ponderada;162,000000;119,000000
SCM;Algar;MG;Nota para o atendimento via internet;0.Péssimo;Percentual;3,086000;4,201681
SCM;Algar;MG;Nota para o atendimento via internet;Nota 1;Percentual;1,852000;0,840336
SCM;Algar;MG;Nota para o atendimento via internet;Nota 2;Percentual;0,000000;0,000000
SCM;Algar;MG;Nota para o atendimento via internet;Nota 3;Percentual;2,469000;2,521008
SCM;Algar;MG;Nota para o atendimento via internet;Nota 4;Percentual;3,704000;3,361345
SCM;Algar;MG;Nota para o atendimento via internet;Nota 5;Percentual;8,025000;11,764706
SCM;Algar;MG;Nota para o atendimento via internet;Nota 6;Percentual;6,790000;7,563025
SCM;Algar;MG;Nota para o atendimento via internet;Nota 7;Percentual;11,728000;10,084034
SCM;Algar;MG;Nota para o atendimento via internet;Nota 8;Percentual;19,136000;17,647059
SCM;Algar;MG;Nota para o atendimento via internet;Nota 9;Percentual;14,198000;12,605042
SCM;Algar;MG;Nota para o atendimento via internet;10.Excelente;Percentual;28,395000;26,890756
SCM;Algar;MG;Nota para o atendimento via internet;99. NS/ NR;Percentual;0,617000;2,521008
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Média;Média Ponderada;7,371728;7,138408
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;0.Péssimo;Percentual;0,783000;2,422145
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 1;Percentual;0,522000;0,692042
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 2;Percentual;2,089000;2,768166
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 3;Percentual;1,828000;2,422145
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 4;Percentual;3,133000;3,806228
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 5;Percentual;11,749000;12,802768
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 6;Percentual;9,138000;10,034602
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 7;Percentual;14,621000;12,802768
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 8;Percentual;25,587000;19,723183
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;Nota 9;Percentual;10,966000;11,764706
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;10.Excelente;Percentual;19,321000;20,761246
SCM;Algar;MG;Facilidade de entendimento dos planos e serviços contratados;99. NS/ NR;Percentual;0,261000;0,000000
SCM;Algar;MG;Indicador de Oferta e Contratação;Oferta e Contratação;Média Indicadores;7,286649;7,015571
SCM;Algar;MG;Indicador de Oferta e Contratação;;Amostra não ponderada;382,000000;289,000000
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Média;Média Ponderada;7,205263;6,885417
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;0.Péssimo;Percentual;2,872000;5,190311
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 1;Percentual;1,044000;2,422145
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 2;Percentual;1,044000;2,422145
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 3;Percentual;2,350000;2,768166
