SERVI�O;OPERADORA;ESTADO;TEMA;ALTERNATIVAS;CALCULO;2015;2016
SCM;Algar;MG;Canais de atendimento utilizados;;Amostra n�o ponderada;383;289
SCM;Algar;MG;Canais de atendimento utilizados;1.Atendimento telef�nico;Percentual;77.285;80.277
SCM;Algar;MG;Canais de atendimento utilizados;2.Atendimento pela internet;Percentual;42.298;41.176
SCM;Algar;MG;Canais de atendimento utilizados;3.Atendimento na loja da operadora;Percentual;25.065;29.758
SCM;Algar;MG;Canais de atendimento utilizados;4.Nenhum destes canais;Percentual;11.488;10.381
SCM;Algar;MG;Tempo de espera para falar com o atendente;M�dia;M�dia Ponderada;6.20339;6.082609
SCM;Algar;MG;Tempo de espera para falar com o atendente;;Amostra n�o ponderada;296;232
SCM;Algar;MG;Tempo de espera para falar com o atendente;0.P�ssimo;Percentual;8.784;9.482759
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 1;Percentual;1.689;2.155172
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 2;Percentual;3.716;4.741379
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 3;Percentual;2.703;4.741379
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 4;Percentual;6.419;5.172414
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 5;Percentual;14.527;13.362069
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 6;Percentual;8.784;6.034483
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 7;Percentual;12.162;12.931034
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 8;Percentual;16.892;16.810345
SCM;Algar;MG;Tempo de espera para falar com o atendente;Nota 9;Percentual;10.135;8.62069
SCM;Algar;MG;Tempo de espera para falar com o atendente;10.Excelente;Percentual;13.851;15.086207
SCM;Algar;MG;Tempo de espera para falar com o atendente;99. NS/ NR;Percentual;0.338;0.862069
SCM;Algar;MG;Indicador de Atendimento Telef�nico;Atendimento Telef�nico;M�dia Indicadores;6.831644;6.763649
